# ----------------------------------------
# Report CSV Export
# Account: Cognito Systems, LLC
# Property: Cognito Systems LLC
# ----------------------------------------
# 
# All Users
# Start date: 20230628
# End date: 20230725

Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
Athletic Trainers | CognitoSystems,198,145,1.3655172413793104,13.613793103448275,581,0,0
Government Contracting | Cognito Systems Llc,117,73,1.6027397260273972,17.232876712328768,320,0,0
CAREERS | CognitoSystems,56,37,1.5135135135135136,41.32432432432432,178,5,0
Our Solutions | CognitoSystems,14,5,2.8,18.8,18,0,0
(not set),11,12,0.9166666666666666,2.25,47,0,0
Leadership | CognitoSystems,11,4,2.75,25.5,26,0,0
Customer Service Technician Job Details | CognitoSystems,7,5,1.4,13.4,16,0,0
AT Spotlight: Tadd Berg | CognitoSystems,6,3,2,22.666666666666668,7,0,0
Entrenadores atléticos | CognitoSystems,5,3,1.6666666666666667,5.666666666666667,11,0,0
AT Spotlight: Kym Mathis | CognitoSystems,4,2,2,67.5,5,0,0
Pelatih Atletik | Sistem Kognito,3,3,1,28.333333333333332,11,0,0
Preparatori Atletici | CognitoSystems,2,1,2,1,6,0,0
Entraîneurs athlétiques | CognitoSystems,1,1,1,21,1,0,0
Legal Policy | CognitoSystems,1,1,1,0,3,0,0
Privacy Policy | CognitoSystems,1,1,1,0,3,0,0
gsa-8a-stars-iii | CognitoSystems,1,1,1,22,3,0,0
Atletik Antrenörler | CognitoSystems,0,1,0,81,2,0,0
