Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
Information Technology | Planned Systems International (PSI) | Arlington,2212,1492,1.482573727,13.1769437,6696,0,0
Careers | PSI Website,643,483,1.33126294,18.2815735,1963,0,0
Job Search | PSI Website,401,306,1.310457516,33.15359477,1203,0,0
About PSI | PSI Website,359,267,1.344569288,31.86891386,681,0,0
Team,277,167,1.658682635,41.71257485,425,0,0
Contact Us | PSI Website,199,172,1.156976744,21.71511628,453,0,0
Locations | PSI Website,174,128,1.359375,32.5546875,398,0,0
Differences between Impact Levels 4 and 5—Take 2,97,79,1.227848101,53,372,0,0
contract vehicles,92,65,1.415384615,33.38461538,157,0,0
subsidiaries,83,60,1.383333333,33.61666667,155,0,0
Press Releases | PSI Website,81,45,1.8,42.22222222,112,0,0
Account Registration | PSI Website,79,39,2.025641026,77.12820513,284,0,0
PSI JV Awarded $54 Million Executive Service Support Task Order by Department of Veterans Affairs,73,52,1.403846154,40.59615385,203,0,0
capabilities,65,54,1.203703704,31.72222222,125,0,0
Health | PSI Website,64,52,1.230769231,27.63461538,138,0,0
Partners | PSI Website,64,57,1.122807018,24.28070175,112,0,0
Terry Lin,59,48,1.229166667,12.125,159,0,0
Benefits | PSI Website,57,49,1.163265306,28.20408163,108,0,0
Certifications | PSI Website,52,43,1.209302326,26,93,0,0
Defense | PSI Website,44,36,1.222222222,48.83333333,72,0,0
Life at PSI | PSI Website,43,32,1.34375,48.375,81,0,0
Federal Civilian | PSI Website,40,30,1.333333333,26.23333333,63,0,0
Awards & Recognitions | PSI Website,35,29,1.206896552,34.89655172,59,0,0
employees,33,22,1.5,44.54545455,42,0,0
Industries,31,31,1,30.06451613,49,0,0
Employment Verification | PSI Website,30,28,1.071428571,49.14285714,80,0,0
ATL JV Wins $90 Million U.S. Air Force IDIQ Contract to Provide Engineering and Technical Services,25,22,1.136363636,35.59090909,64,0,0
PSI Innovation Facility | PSI Website,25,21,1.19047619,27.38095238,46,0,0
PSI Named Among Computerworld’s Best Places to Work in IT List for Seventh Straight Year,24,22,1.090909091,73.36363636,60,0,0
Cybersecurity Support Services | PSI Website,23,16,1.4375,19.5625,67,0,0
In the Community | PSI Website,23,21,1.095238095,33.23809524,39,0,0
Transitioning Military | PSI Website,23,20,1.15,35.3,58,0,0
Billing Systems | PSI Website,20,16,1.25,41.25,41,0,0
PSI Awarded $91.7 Million Recompete to Provide C2MS III Support to U.S. Air Force Special Operations,18,15,1.2,24.6,48,0,0
David Truong,17,15,1.133333333,15.4,48,0,0
IT Support & Operations | PSI Website,17,10,1.7,22.4,32,0,0
Sandy Kelly,17,16,1.0625,7.9375,38,0,0
Perspectives | PSI Website,16,13,1.230769231,40.46153846,21,0,0
Mash Rahman,15,12,1.25,12,25,0,0
National Security | PSI Website,15,14,1.071428571,13.35714286,31,0,0
(not set),13,19,0.684210526,2.947368421,73,0,0
Andy Acuna,13,12,1.083333333,9.166666667,35,0,0
Kim Stephens,13,10,1.3,19.5,23,0,0
Tech Tips | PSI Website,13,11,1.181818182,26.18181818,31,0,0
