Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"Happy Fourth of July! Today, we celebrate the spirit of freedom and unity that brings us together as a nation. Let's cherish the blessings of liberty, honor those who fought for our independence, and embrace the values that make our country strong. May this day be filled with joy, gratitude, and a renewed commitment to building a brighter future for all. 🇺🇸❤️ #HappyIndependenceDay #WeArePSI",https://www.linkedin.com/feed/update/urn:li:activity:7081995086850363392,Organic,,Bryan Ly,07/04/2023,,,All followers,775,206,23,0.029677419,40,0,0,,0.08129032,Video
"On Juneteenth, we commemorate the end of slavery, celebrate the freedoms we now enjoy, and recommit to equity, equality, and justice for all.

#WeArePSI
#freedomday 
#diversity ",https://www.linkedin.com/feed/update/urn:li:activity:7076528988998782976,Organic,,Christina Colbert,06/19/2023,,,All followers,1153,,29,0.025151778,31,0,0,,0.052038163,
"PSI wishes a Happy Father’s Day to all the incredible dads out there, including those who work among us. Check out our spotlight on one of them – Program Coordinator for the Air Force Medical Readiness Agency, Quinton Holoway – as he shares what this important role means to him and how his children changed his life. https://lnkd.in/eHt44Ehv
 
#WeArePSI
#HappyFathersDay
#inspiration 
#makeadifference",https://www.linkedin.com/feed/update/urn:li:activity:7076160558139355136,Organic,,Christina Colbert,06/18/2023,,,All followers,789,,19,0.024081115,14,0,2,,0.044359948,
"Happy Birthday, U.S. Army! We are forever grateful for your 248 years of service to our nation. PSI is proud to support our military and honor our veterans through programs such as Hiring our Heroes, which help transition service members entering the corporate world. Apply today! www.plan-sys.com/careers

#WeArePSI
#army
#hiringourheroes 
#veterans 
#grateful ",https://www.linkedin.com/feed/update/urn:li:activity:7074759912878137345,Organic,,Christina Colbert,06/14/2023,,,All followers,678,,10,0.014749262,30,0,0,,0.05899705,
"Today, we shine the PSI spotlight on Federal Civilian Sector Growth Analyst Amanda Ellison, who recently celebrated her first anniversary with the company!
 
Q. What is something that most people don’t know about you?
A. I’m an animal lover and make a point of always carrying a dog leash or rope and treats around in my car in the hope that I come across a stray or injured animal in need of help. I have regularly come home with a stray dog found wandering around, much to my husband’s dismay.
 
Q. What do you love most about your job?
A. Since joining Bill Niemeyer’s team in 2022, I have enjoyed and loved every aspect of my role. No two days are the same. The team that I joined are an amazing group of people who each bring their own level of knowledge and uniqueness to our sector. This has been instrumental to my development within my role and has enhanced my journey into Business Development.
 
Q. What's your professional success story?
A. I spent 15 years in the UK financial sector, starting out as a 20-year-old and moving from the grass roots into managing my own branch. During that time, I won several awards but the most satisfying of them was “outstanding branch performance” due to sales performance and customer feedback. 
 
Q. What challenges have you faced in your career?
A. I moved to the US from the UK in 2017 with my husband and daughter. In 2021, we were granted our green cards, allowing me to look for a job for the first time in five years. Despite all my qualifications and experience, I struggled to even get an interview. I circulated my resume and one day, Bill reached out to me and the rest, as they say, is history. At 52 years of age, embarking into a new industry with no prior background in Business Development was daunting but I knew I had many transferable skills that I could bring to the company.
 
Q. What was the toughest challenge you’ve experienced at work?
A. Making the decision at 36 years old to leave my full-time job and get my bachelor’s degree in business management.
 
Q. Who are your biggest inspirations at PSI?
A. Bill Niemeyer consistently demonstrates high standards of professionalism, work ethic and integrity. He fosters a strong positive and inclusive working culture where open communication is welcomed and encouraged.
 
Bill Stanley has a wealth of knowledge and experience within business development and working with federal agencies.
 
Richard Macon has been a great mentor! He has provided constructive insight and shared his knowledge and expertise within the business sector.
 
Carrie Donat has been a great mentor outside my immediate team. She has offered guidance and resources to allow me to grow and develop within my role.
 
I could go on and on, as many people within PSI have provided different forms of inspiration. It's a great company to work for!

#WeArePSI
#inspiration",https://www.linkedin.com/feed/update/urn:li:activity:7074502297640132608,Organic,,Christina Colbert,06/13/2023,,,All followers,1325,,35,0.026415095,40,1,2,,0.058867924,
"PSI is #hiring! We have multiple (U.S.) positions available, including the below #hotjobs. Click the direct links below to learn more and check out all our positions at www.plan-sys.com/careers. Your best #career is just a click away!
 
Business Communications Analyst
https://lnkd.in/ez4Yt82E
Desktop Support
https://lnkd.in/e_bTqumD
Help Desk Technician II
https://lnkd.in/eVNp3G6E
Linux/Oracle DevOps Admin/Engineer
https://lnkd.in/g7Jkq9ZC
Project Manager
https://lnkd.in/eC7Kpa4W
Senior Security Specialist - HVA Analyst
https://lnkd.in/eD-zMnFw

#WeArePSI
#equalopportunities
#security
#projectmanagement
#oracle
#linux
#analyst
#desktopsupport",https://www.linkedin.com/feed/update/urn:li:activity:7073043924382052352,Organic,,Christina Colbert,06/09/2023,,,All followers,1273,,96,0.075412415,29,3,4,,0.109976433,
"#TBT to the U.S. Department of Veterans Affairs Bay Pines Medical Campus' Memorial Day ceremony attended by our very own Crystal Green, PhD, MPH, who had the honor and privilege of meeting keynote speaker, former VA Deputy Secretary Thomas Bowman. Crystal is a Project Manager for PSI's IV&V Test Center located at the VA Bay Pines Medical Campus. 

#WeArePSI
#veterans
#rememberandhonor ",https://www.linkedin.com/feed/update/urn:li:activity:7072584491180978178,Organic,,Christina Colbert,06/08/2023,,,All followers,1049,,43,0.040991422,33,1,1,,0.074356534,
"On today's #WarriorWednesday, we recognize U.S. Army Veteran Myron Gibert. Veterans take initiative, have exemplary #leadership skills, and do what is needed to get the #job done—just as they did in the #military. If you are a veteran seeking to use your skills to deliver timely solutions that protect our #nationalsecurity, we need you! Apply today at www.plan-sys.com/careers 

#WeArePSI
#veterans ",https://www.linkedin.com/feed/update/urn:li:activity:7072323866957598720,Organic,,Christina Colbert,06/07/2023,,,All followers,556,,13,0.023381295,20,0,1,,0.06115108,
"Check out this HOT opportunity for a NORTHCOM Staff Officer in Colorado Springs, CO! Click on the direct link below and learn more about this amazing position supporting Defense Intelligence Agency (CO). Your best #career is just a click away. www.plan-sys.com/careers

#WeArePSI
#Equalopportunity
#colorado 

NORTHCOM Staff Officer - Colorado Springs, CO 
https://lnkd.in/e9dbqXBz",https://www.linkedin.com/feed/update/urn:li:activity:7071836105393754112,Organic,,Christina Colbert,06/06/2023,,,All followers,910,,15,0.016483517,21,0,4,,0.043956045,
"PSI is #hiring! We have multiple (U.S.) positions available, including the below #hotjobs. Click the links to learn more and check out all our positions at www.plan-sys.com/careers. Your best #career is just a click away!
 
Business Communications Analyst
https://lnkd.in/ez4Yt82E
 
Linux/Oracle DevOps Admin/Engineer
https://lnkd.in/g7Jkq9ZC
 
Senior Angular/Angular JS Developer
https://lnkd.in/eZpb8W-y
 
Senior Security Specialist - HVA Analyst
https://lnkd.in/eD-zMnFw
 
System Administrator
https://lnkd.in/gHgy6Qta

#WeArePSI
#ITJobs
#Hiring
#ApplyNow
#GovernmentJobs
#EqualOpportunities 
#DevopsEngineer 
#Developer 
#Security ",https://www.linkedin.com/feed/update/urn:li:activity:7070038659118313472,Organic,,Christina Colbert,06/01/2023,,,All followers,930,,56,0.060215052,29,0,4,,0.095698923,
